rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_google_scholar,citations_google_scholar_date,citations_score,citations_score_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
87,beattie1972,"Beattie, Christopher; Désy, Jacques; Longstaff, Stephen",,1972,Bureaucratic Careers: Anglophones and Francophones in the Canadian Public Service,Ottawa : Information Canada (étude de la Commission royale d'enquête sur le bilinguisme et le biculturalisme),book,en,,,,non indexé dans Consensus (compte rendu IJCS 1977),18.0,2026-09-03,18.0,Google Scholar,0,18.0,17,boyd1985; coleman1984; cuneo1975; darroch1979; fenwick1982; helmeshayes1998; laczko1995; lanphier1974; lautard1990; levine1990; mcroberts1988; nakhaie1997; ogmundson1992; ram1980; rcbb1969; sales1985; vaillancourt1980,1,1,backward,Consensus (compte rendu) ; cité par ram1980 (Beattie & Spencer 1971),contexte,2,2,1,1,6,0.3731763344691098,0.36904761904761907,0.20481927710843373,0.316,"(Beattie et al., 1972)","Bureaucratic Careers: Anglophones and Francophones in t... (Beattie et al., 1972)",Statut socioprofessionnel : carrières et salaires des anglophones et francophones dans la fonction publique fédérale (années 1960) ; écarts de progression à scolarité et ancienneté égales.,
88,guindon1964,"Guindon, Hubert",,1964,"Social unrest, social class and Quebec's bureaucratic revolution","Queen's Quarterly, 71(2), 150-162",article,en,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,16,beattie1972; coleman1984; dofny1969; fenwick1982; fortin2011; geloso2025; helmeshayes1998; laczko1995; levine1990; mcroberts1979; mcroberts1988; nakhaie1994; pettinicchio2012; sales1985; vaillancourt1980; wanner1999,1,2,backward,"bibliographies levine1990, fenwick1982, pettinicchio2012 (connaissance du texte)",contexte,2,1,1,1,5,0.43924517695759147,0.27380952380952384,0.1927710843373494,0.302,"(Guindon, 1964)","Social unrest, social class and Quebec's bureaucratic r... (Guindon, 1964)","Explication : la 'nouvelle classe moyenne' francophone issue de la bureaucratisation (État, secteur public) et ses revendications contre le plafonnement dans les entreprises anglophones ; base sociale de la Révolution tranquille.",
89,dofny1969,"Dofny, Jacques; Garon-Audy, Muriel",,1969,Mobilités professionnelles au Québec,"Sociologie et sociétés, 1(2), 277-301",article,fr,10.7202/001648ar,,,,,,31.0,imputé (médiane),1,31.0,10,beland1982; beland1987; boulet1981; boyd1985; cuneo1975; darroch1979; laczko1995; mcroberts1976; sales1985; wanner2005,1,3,forward,citant dejocas1957 et blishen1958 (connaissance du texte ; réanalysé par beland1987),inclus,2,2,1,1,6,0.43924517695759147,0.3333333333333333,0.12048192771084337,0.298,"(Dofny et Garon-Audy, 1969)","Mobilités professionnelles au Québec (Dofny et Garon-Audy, 1969)",Statut socioprofessionnel : réplication de de Jocas & Rocher (1954) avec les registres de mariage de 1964 ; mobilité professionnelle des francophones et des anglophones au Québec ; base de la série 1954-1964-1974.,69.0
90,lacroix1981,"Lacroix, Robert; Vaillancourt, François",,1981,Les revenus et la langue au Québec (1970-1978),"Québec : Conseil de la langue française, coll. Dossiers no 8",report,fr,,,0.0,Consensus/Semantic Scholar 2026-09,0.0,2026-09-03,0.0,Google Scholar,0,0.0,34,albouy2008; beland2010; bloom1992; boulet1983; bousmah2021; chiswick1988; christofides1998; christofides2010; coleman1984; fortin2011; grenier1984; grenier1987; grenier2016; grenier2019; laczko1995; levine1990; mcroberts1988; nadeau2010; sales1985; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies vaillancourt2013, christofides2010 ; Consensus",inclus,2,2,1,1,6,0.0,0.47619047619047616,0.40963855421686746,0.295,"(Lacroix et Vaillancourt, 1981)","Les revenus et la langue au Québec (1970-1978) (Lacroix et Vaillancourt, 1981)",Recensement 1971 et enquêtes 1978-1979 : le lien positif entre revenu et connaissance de l'anglais perd de l'importance entre 1970 et 1978.,70.0
91,nakhaie1994,"Nakhaie, M. Reza",,1994,"Class, gender and ethnic income inequalities in 1973 and 1984: Findings from the Canadian national surveys","Review of Radical Political Economics, 26(1)",article,en,10.1177/048661349402600102,,4.0,Consensus/Semantic Scholar 2026-09,3.0,2026-09-03,3.0,Google Scholar,0,3.0,6,helmeshayes1998; laczko1995; lian1998; nakhaie1997; wanner1999; wanner2005,1,1,backward,Consensus,contexte,1,2,1,1,5,0.1756980707830366,0.6309523809523809,0.07228915662650602,0.293,"(Nakhaie, 1994)","Class, gender and ethnic income inequalities in 1973 an... (Nakhaie, 1994)","Enquêtes nationales 1973 et 1984 : les écarts de revenu anglophones/francophones sont beaucoup plus faibles que les écarts de classe et de sexe, et encore plus en 1984 ; amélioration liée à des structures salariales moins discriminatoires.",
92,grenier1984,"Grenier, Gilles",,1984,"Participation au marché du travail, revenus et langues au Québec : le cas des femmes mariées","L'Actualité économique, 60(1)",article,fr,10.7202/601434ar,,0.0,Consensus/Semantic Scholar 2026-09,7.0,2026-09-03,7.0,Google Scholar,0,7.0,7,grenier1987; grenier2019; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1996,1,1,backward,Consensus,inclus,2,2,1,1,6,0.26354710617455485,0.5119047619047619,0.08433734939759036,0.287,"(Grenier, 1984)","Participation au marché du travail, revenus et langues... (Grenier, 1984)",Revenus des femmes mariées par groupe linguistique au Québec en 1980 ; les attributs linguistiques ont peu d'effet sur le revenu des femmes ; allophones distinctes.,71.0
93,shapiro1982,"Shapiro, Daniel M.; Stelcner, Morton",,1982,Language legislation and male-female earnings differentials in Quebec,"Canadian Public Policy / Analyse de politiques, 8(1), 106-113",article,en,10.2307/3549814,,2.0,Consensus/Semantic Scholar 2026-09,7.0,2026-09-03,7.0,Google Scholar,0,7.0,6,boulet1983; grenier1984; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988,1,1,backward,Consensus,inclus,2,2,1,1,6,0.26354710617455485,0.4880952380952381,0.07228915662650602,0.275,"(Shapiro et Stelcner, 1982)","Language legislation and male-female earnings different... (Shapiro et Stelcner, 1982)","Commentaire sur les prémisses économiques de la Loi 101 (structure des professions, contrôle des entreprises, disparités de revenu) discutées par Vaillancourt (1978).",72.0
94,breton1978,"Breton, Albert",,1978,Le bilinguisme : une approche économique / Bilingualism: An Economic Approach,Montréal : Institut C.D. Howe,book,fr/en,,,,non indexé dans Consensus,2.0,2026-09-03,2.0,Google Scholar,0,2.0,20,bloom1992; boulet1980; boulet1981; boulet1983; carliner1981; chiswick1988; christofides1998; coleman1984; grenier1987; lacroix1981; laczko1995; pendakur2002; shapiro1997; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1996; vaillancourt2018; veltman1979,1,2,backward,"bibliographies vaillancourt1980, vaillancourt1996, lacroix1981 (connaissance du texte)",contexte,1,2,0,1,4,0.1392374268200822,0.44047619047619047,0.24096385542168675,0.274,"(Breton, 1978)","Le bilinguisme : une approche économique / Bilingualism... (Breton, 1978)",Cadre théorique de l'économie de la langue (la langue comme capital humain et bien collectif) mobilisé pour interpréter les écarts de revenu par groupe linguistique au Canada.,
95,christofides1998,"Christofides, Louis N.; Swidinsky, Robert",,1998,Bilingualism and earnings: A study based on 1971 and 1981 census data,"In A. Breton (dir.), Economic Approaches to Language and Bilingualism, Ottawa : Patrimoine canadien, coll. Nouvelles perspectives canadiennes, 121-183",chapter,en,,,,non indexé dans Consensus,0.0,2026-09-03,0.0,Google Scholar,0,0.0,12,albouy2008; bousmah2021; christofides2006; christofides2010; grenier2016; nadeau2010; nadeau2010b; pendakur2002; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2018,1,2,backward,"bibliographies christofides2010, pendakur2002, albouy2008 (connaissance du texte)",inclus,2,2,1,1,6,0.0,0.6785714285714286,0.14457831325301204,0.274,"(Christofides et Swidinsky, 1998)","Bilingualism and earnings: A study based on 1971 and 19... (Christofides et Swidinsky, 1998)",Recensements 1971 et 1981 : rendement du bilinguisme et écarts anglophones/francophones au Québec et hors Québec ; distinction connaissance/usage.,73.0
96,veltman1976,"Veltman, Calvin J.",,1976,Les incidences du revenu sur les transferts linguistiques dans la région métropolitaine de Montréal,"Recherches sociographiques, 17(3), 323-339",article,fr,10.7202/055724ar,,6.0,Consensus/Semantic Scholar 2026-09,,,14.0,Consensus calibré (x2.41),0,14.0,4,boulet1980; lacroix1981; vaillancourt1980; veltman1979,1,4,backward,Consensus,inclus,2,2,1,1,6,0.3432165702044027,0.4166666666666667,0.04819277108433735,0.269,"(Veltman, 1976)","Les incidences du revenu sur les transferts linguistiqu... (Veltman, 1976)","Recensement 1971 (tabulations spéciales) comparé aux données de la Commission B-B (1961) : relation langue-revenu dans la RMR de Montréal et transferts linguistiques ; disparités persistantes en faveur des anglophones, en voie de réduction.",74.0
97,blishen1970,"Blishen, Bernard R.",,1970,Social class and opportunity in Canada,"Canadian Review of Sociology and Anthropology, 7(2), 110-127",article,en,10.1111/j.1755-618x.1970.tb01152.x,,12.0,Consensus/Semantic Scholar 2026-09,,,29.0,Consensus calibré (x2.41),0,29.0,1,blishen1987,1,3,forward,citant blishen1958 et porter1965 (Consensus),inclus,1,2,1,1,5,0.43106560559592105,0.34523809523809523,0.012048192771084338,0.263,"(Blishen, 1970)","Social class and opportunity in Canada (Blishen, 1970)","Recensement 1961 : six classes construites avec l'indice socioéconomique de 320 professions ; au Québec, les natifs (majoritairement francophones) sont sous-représentés dans les trois classes supérieures, les immigrants des États-Unis, du Royaume-Uni et d'Allemagne surreprésentés.",75.0
98,boulet1981,"Boulet, Jac-André; et al.",,1981,Socio-economic achievements of Montreal language groups in 1971,"Canadian Review of Sociology and Anthropology, 18(3)",article,en,10.1111/j.1755-618x.1981.tb01236.x,,2.0,Consensus/Semantic Scholar 2026-09 (ordre des coauteurs à vérifier),,,5.0,Consensus calibré (x2.41),0,5.0,4,laczko1995; levine1990; shapiro1987; vaillancourt1985,1,4,forward,Consensus (citant blishen1958/blishen1967),inclus,2,2,1,1,6,0.22708646221160048,0.47619047619047616,0.04819277108433735,0.25,"(Boulet et et al., 1981)","Socio-economic achievements of Montreal language groups... (Boulet et et al., 1981)","Statut socioprofessionnel : recensement 1971, hommes de la RMR de Montréal, rang social mesuré par l'indice de Blishen ; les anglophones obtiennent un rang supérieur à celui que prédisent leurs caractéristiques ; le bilinguisme est rentable pour tous sauf les anglophones ; résultats conformes à la théorie des réseaux d'information (Migué 1970).",76.0
99,beland1982,"Béland, François",,1982,Une étude de la mobilité sociale au Québec de 1954 à 1974 et une méthode d'analyse statistique : des résultats divergents,"Canadian Review of Sociology and Anthropology, 19(3)",article,fr,10.1111/j.1755-618x.1982.tb00863.x,,2.0,Consensus/Semantic Scholar 2026-09,,,5.0,Consensus calibré (x2.41),0,5.0,2,beland1987; boyd1985,1,3,forward,citant dofny1969/dejocas1957 (Consensus),contexte,1,2,1,0,4,0.22708646221160048,0.4880952380952381,0.024096385542168676,0.246,"(Béland, 1982)","Une étude de la mobilité sociale au Québec de 1954 à 19... (Béland, 1982)",Réanalyse des tables de mobilité 1954-1964-1974 (Garon-Audy) : la stabilité ou le changement de la structure de mobilité au Québec dépend du modèle statistique retenu.,
100,raynauld1975,"Raynauld, André; Marion, Gérald",,1975,Structural aspects of differences in income between anglophones and francophones: A reply,"Canadian Review of Sociology and Anthropology, 12(1)",article,en,10.1111/j.1755-618x.1975.tb00041.x,,0.0,Consensus/Semantic Scholar 2026-09,4.0,2026-09-03,4.0,Google Scholar,0,4.0,7,boulet1980; fenwick1982; lacroix1981; ram1980; vaillancourt1978; vaillancourt1980; veltman1976,1,1,backward,Consensus,inclus,2,2,1,1,6,0.20397914338432055,0.40476190476190477,0.08433734939759036,0.231,"(Raynauld et Marion, 1975)","Structural aspects of differences in income between ang... (Raynauld et Marion, 1975)",Réplique des auteurs de l'étude B-B à Lanphier & Morris (1974) sur l'interprétation structurelle des écarts de revenu de 1961.,77.0
101,ram1980,"Ram, Bali; et al.",,1980,Anglophone-Francophone differences in returns to schooling in Canada,"International Journal of Comparative Sociology, 21(1-2)",article,en,10.1177/002071528002100104,,0.0,Consensus/Semantic Scholar 2026-09,1.0,2026-09-03,1.0,Google Scholar,0,1.0,3,herberg1990; lautard1990; wanner1999,1,1,backward,Consensus,inclus,2,2,1,1,6,0.0878490353915183,0.4642857142857143,0.03614457831325301,0.196,"(Ram et et al., 1980)","Anglophone-Francophone differences in returns to school... (Ram et et al., 1980)","Rendements de la scolarité anglophones/francophones ; rappelle que, selon toute mesure (scolarité, revenu, profession, propriété), les francophones sont en retard (de Jocas & Rocher 1957 ; CRBB 1969 ; Lieberson 1970 ; Beattie & Spencer 1971 ; Lanphier & Morris 1974).",78.0
102,vaillancourt1979,"Vaillancourt, François",,1979,Language and the earnings of Quebec males in 1970 in specific industries and occupations,"Recherches économiques de Louvain, 45(3)",article,en,10.1017/s0770451800081318,,0.0,Consensus/Semantic Scholar 2026-09,0.0,2026-09-03,0.0,Google Scholar,0,0.0,10,boulet1980; boulet1983; carliner1981; grenier1984; lacroix1981; shapiro1981; shapiro1987; vaillancourt1980; vaillancourt1985; vaillancourt1988,1,1,backward,Consensus,inclus,2,2,1,1,6,0.0,0.4523809523809524,0.12048192771084337,0.191,"(Vaillancourt, 1979)","Language and the earnings of Quebec males in 1970 in sp... (Vaillancourt, 1979)","Rendement de l'anglais supérieur à celui du français, toutes choses égales, en 1970 ; résultats par industrie et par profession.",79.0
103,hughes1941,"Hughes, Everett C.; McDonald, Margaret L.",,1941,French and English in the economic structure of Montreal,"Canadian Journal of Economics and Political Science, 7(4), 493-505",article,en,10.2307/137222,,14.0,Consensus/Semantic Scholar 2026-09,23.0,2026-09-03,23.0,Google Scholar,0,23.0,13,dofny1962; hughes1943; levine1990; lieberson1970; porter1965; raynauld1966; raynauld1974; rcbb1969; taylor1961; vaillancourt1980; vaillancourt1989; vaillancourt2005; vaillancourt2024b,0,1,backward,Consensus,contexte,2,2,0,1,5,0.4027845329946371,0.0,0.1566265060240964,0.186,"(Hughes et McDonald, 1941)","French and English in the economic structure of Montreal (Hughes et McDonald, 1941)",Point de départ historique : positions de contrôle financier à Montréal ; les anglophones exercent une part du contrôle bien supérieure à leur poids démographique.,
